dia;mes;año;Fecha;Regíon;Volcan;Hora reporte;Hora evento;Tipo de evento;ML;DR [cm2];Prof (km);Tiempo en genarar el reporte;Comentarios;Nivel de alerta;REAV y enlace a documento;;;;;;;;;
10;3;2015;10-03-2015;Región de La Araucanía y Los Ríos;Villarrica;16:00;-;-;-;-;-;- ;Se ha presentado una tendencia a la baja en la energía de las señales sísmicas. Mediante sobrevuelo se pudo visualizar el conducto interno del volcán, luego de estar obstruido con material depositado por la erupción.  Se cambia la alerta a AMARILLA.;Amarilla;REAV Región de La Araucanía y Los Ríos, 10 marzo de 2015, 16:00 (Horario Local);;;;;;;;;
12;3;2015;12-03-2015;Región del Biobío;Copahue;17:20;16:41;VT;3,6;-;1,3;00:39;-;Amarilla;REAV Región del Biobío, 12 marzo de 2015, 17:20 (Horario Local);;;;;;;;;
17;3;2015;17-03-2015;Región de La Araucanía y Los Ríos;Villarrica;22:15;-;EX;-;-;-;- ;Se han registrado 2 explosiones estrombolianas débiles, alcanzando una altura de 150m. Además el tremor volcánico mostro fluctuaciones significativas, alcanzando DR=10cm*cm;Amarilla;REAV Región de La Araucanía y Los Ríos, 17 marzo de 2015, 22:15 (Horario Local);;;;;;;;;
18;3;2015;18-03-2015;Región de La Araucanía y Los Ríos;Villarrica;11:30;-;EX;-;-;-;- ;Continuan las explosiones con emisión de material balístico, produciendo incandescencia y emisión de cenizas de forma regular. Se cambia la alerta a NARANJA;Naranja;REAV Región de La Araucanía y Los Ríos, 18 marzo de 2015, 11:30 (Horario Local);;;;;;;;;
24;3;2015;24-03-2015;Región del Biobío;Copahue;09:40;-;LP;-;-;-;- ;Se ha registrado un aumento significativo de la actividad LP, 80 eventos/hora, con un DR máx=3,7 cm*cm;Amarilla;REAV Región del Biobío, 24 marzo de 2015, 09:40 (Horario Local);;;;;;;;;
30;3;2015;30-03-2015;Región de La Araucanía y Los Ríos;Villarrica;22:00;-;EX;-;-;-;- ;Se han registrado varias explosiones estrombolianas, alcanzando alturas de 300m sobre el nivel del cráter;Naranja;REAV Región de La Araucanía y Los Ríos, 30 marzo de 2015, 22:00 (Horario Local);;;;;;;;;
19;4;2015;19-04-2015;Región del Maule;Laguna del Maule;13:35;-;VT;2,2;-;6;- ;Se registra un enjambre sísmico, 175 eventos en en 1 hora;Verde;REAV Región del Maule, 19 abril de 2015, 13:35 (Horario Local);;;;;;;;;
22;4;2015;22-04-2015;Región de Los Lagos;Calbuco;15:11;-;VT;2,5;-;7,4;- ;Se registra un enjambre sísmico, 140 eventos en en 2 hora;Verde;REAV Región de Los Lagos, 22 abril de 2015, 15:11 (Horario Local);;;;;;;;;
22;4;2015;22-04-2015;Región de Los Lagos;Calbuco;18:00;17:50;-;-;-;-;00:10;A las 17:50 HL se generó un evento eruptivo en el volcán Calbuco. Se cambia la alerta a ROJA;Roja;REAV Región de Los Lagos, 22 abril de 2015, 18:00 (Horario Local);;;;;;;;;
22;4;2015;22-04-2015;Región de Los Lagos;Calbuco;20:45;-;-;-;-;-;- ;Se produjo un evento eruptivo intempestivo en el volcán, focalizado en el cráter principal. Esta actividad fue precedida por un enjambre sísmico de sismos VT una hora antes del evento. Posterior a esto, se registró sismisidad LP con un DR máximo = 5.980 cm*cm, generando una columna eruptiva de color grisáceo, superior a 15 km. La actividad sísmica sigue con tremor continuo.;Roja;REAV Región de Los Lagos, 22 abril de 2015, 20:45 (Horario Local);;;;;;;;;
22;4;2015;22-04-2015;Región de Los Lagos;Calbuco;22:30;-;-;-;-;-;- ;Finalizo la fase mas energética de la erupción, la que se prolongo por 1 hora y 30 minutos, desarrollando una altura eruptiva de unos 15 km. A las 21:55 se comenzó a registrar tremor armónico con un DR=2,6 cm*cm, sugiriendo posible emisión de lava desde el cráter principal. La actividad sísmica continua en niveles moderados. La dispersión piroclástica ha sido principalmente hacia el N y E del volcán, sin embargo la ceniza en suspensión es transportada hacia el N y NW.;Roja;REAV Región de Los Lagos, 22 abril de 2015, 22:30 (Horario Local);;;;;;;;;
23;4;2015;23-04-2015;Región de Los Lagos;Calbuco;01:10;-;-;-;-;-;- ;A las 01:00 HL se genero un nuevo evento eruptivo.;Roja;REAV Región de Los Lagos, 23 abril de 2015, 01:10 (Horario Local);;;;;;;;;
23;4;2015;23-04-2015;Región de Los Lagos;Calbuco;02:30;-;-;-;-;-;- ;Luego del descenso de la actividad eruptiva de la tarde anterior, se presento un incremento sostenido del tremor y aparición de actividad tipo híbrida, con una ML máx=2.0 y un DR máx=75cm*cm. Posteriormente el tremor continuó incrementandose hasta alcanzar DR promedio de 500cm*cm. Con la fase paroxismal se registro actividad VT con ML máx=3.3, además de gran actividad explosiva en el cráter principal;Roja;REAV Región de Los Lagos, 23 abril de 2015, 02:30 (Horario Local);;;;;;;;;
23;4;2015;23-04-2015;Región de Los Lagos;Calbuco;10:30;-;-;-;-;-;- ;El segundo pulso eruptivo se extendió por 6 horas, decayendo paulatinamente en su energía. Se ha registrado gran numero de sismicidad VT, con un promedio de 150 eventos por hora, con una ML máx=3,6. Al momento de emitirse este reporte se han contabilizado 320 eventos VT con ML>3,0. La columna eruptiva alcanzo altura superior a 15km, la cual se dispersó al N, NE y E;Roja;REAV Región de Los Lagos, 23 abril de 2015, 10:30 (Horario Local);;;;;;;;;
23;4;2015;23-04-2015;Región de La Araucanía y Los Ríos;Villarrica;20:00;19:22;VT;3;-;3,9;00:38;-;Naranja;REAV Región de La Araucanía y Los Ríos, 23 abril de 2015, 20:00 (Horario Local);;;;;;;;;
24;4;2015;24-04-2015;Región de Los Lagos;Calbuco;13:30;-;-;-;-;-;- ;Se observa un aumento en la actividad superficial, con una altura eruptiva de 2km.  La presente actividad sugiere que el sistema ha entrado en una fase inestable y de actividad sostenida;Roja;REAV Región de Los Lagos, 24 abril de 2015, 13:30 (Horario Local);;;;;;;;;
2;5;2015;02-05-2015;Región del Maule;Descabezado Grande;04:30;04:00;VT;3,1;-;3,3;00:30;-;Verde;REAV Región del Maule, 02 mayo de 2015, 04:30 (Horario Local);;;;;;;;;
15;5;2015;15-05-2015;Región del Biobío;Copahue;21:18;21:18;VT;3,2;-;3,3;00:00;-;Amarilla;REAV Región del Biobío, 15 mayo de 2015, 21:18 (Horario Local);;;;;;;;;
17;5;2015;17-05-2015;Región de Los Lagos;Chaitén;09:40;09:10;HB;3,5;1500;1;00:30;-;Verde;REAV Región de Los Lagos, 17 mayo de 2015, 09:40 (Horario Local);;;;;;;;;
19;5;2015;19-05-2015;Región de Los Lagos;Chaitén;19:00;-;-;-;-;-;- ;Se registra un leve aumento en la actividad sísmica asociada al volcán Chaitén, expresado en la cantidad y energía de los eventos LP, VT y HB. Se cambia la alerta a AMARILLA;Amarilla;REAV Región de Los Lagos, 19 mayo de 2015, 19:00 (Horario Local);;;;;;;;;
26;5;2015;26-05-2015;Región Metropolitana;Tupungatito;08:36;08:36;VT;3,2;-;5,9;00:00;-;Verde;REAV Región Metropolitana, 26 mayo de 2015, 08:36 (Horario Local);;;;;;;;;
31;5;2015;31-05-2015;Región de Arica y Parinacota;Guallatiri;00:05;00:04;VT;3,5;-;1,1;00:01;Se registra un disparo sísmico, 22 eventos VT en 10 minutos;Verde;REAV Región de Arica y Parinacota, 31 mayo de 2015, 00:05 (Horario Local);;;;;;;;;
31;5;2015;31-05-2015;Región de Arica y Parinacota;Guallatiri;05:25;05:17;VT;3,7;-;6,9;00:08;Se registra un disparo sísmico de 20 eventos;Verde;REAV Región de Arica y Parinacota, 31 mayo de 2015, 05:25 (Horario Local);;;;;;;;;
31;5;2015;31-05-2015;Región de Arica y Parinacota;Guallatiri;14:00;-;-;-;-;-;- ;Debido a los 2 disparos sísmico registrados en el día, además de variaciones observadas en los inclinometros, se cambia la alerta a AMARILLA;Amarilla;REAV Región de Arica y Parinacota, 31 mayo de 2015, 14:00 (Horario Local);;;;;;;;;
11;8;2015;11-08-2015;Región del Maule;Laguna del Maule;04:30;-;VT;1,7;-;6;- ;Se registra un enjambre sísmico, 121 eventos en 2 horas;Verde;REAV Región del Maule, 11 agosto de 2015, 04:30 (Horario Local);;;;;;;;;
17;8;2015;17-08-2015;Región Metropolitana;Tupungatito;15:15;15:15;VT;3,2;-;8,2;00:00;-;Verde;REAV Región Metropolitana, 17 agosto de 2015, 15:15 (Horario Local);;;;;;;;;
19;8;2015;19-08-2015;Región del Biobío;Copahue;04:30;-;VT;2;-;4,4;- ;Se registra un enjambre sísmico, 37 eventos en 40 minutos;Amarilla;REAV Región del Biobío, 19 agosto de 2015, 04:30 (Horario Local);;;;;;;;;
16;9;2015;16-09-2015;Región del Biobío;Copahue;20:45;20:08;VT;3,3;-;4,7;00:37;-;Amarilla;REAV Región del Biobío, 16 septiembre de 2015, 20:45 (Horario Local);;;;;;;;;
22;9;2015;22-09-2015;Región del Biobío;Copahue;12:00;-;-;-;-;-;- ;Durante los ultimos días se ha observado la ocurrencia de pequeñas explosiones en el cráter El Agrio, además de un aumento en la actividad sísmica, emisiones de SO2, aumento en la temperatura de las emanaciones gaseosas y perdida parcial del lago ácido alojado en el cráter;Amarilla;REAV Región del Biobío, 22 septiembre de 2015, 12:00 (Horario Local);;;;;;;;;
22;9;2015;22-09-2015;Región del Biobío;Copahue;13:10;12:36;VT;3;-;2,9;00:34;Se registra un disparo sísmico, 16 eventos en 1 hora;Amarilla;REAV Región del Biobío, 22 septiembre de 2015, 13:10 (Horario Local);;;;;;;;;
1;10;2015;01-10-2015;Región del Biobío;Copahue;16:00;-;-;-;-;-;- ;Se registra un cambio en la actividad interna del volcán, representado por tremor continuo con valores de DR< 1,6 cm*cm;Amarilla;REAV Región del Biobío, 01 octubre de 2015, 16:00 (Horario Local);;;;;;;;;
2;10;2015;02-10-2015;Región del Biobío;Copahue;21:35;21:03;VT;3,6;-;0,94;00:32;-;Amarilla;REAV Región del Biobío, 02 octubre de 2015, 21:35 (Horario Local);;;;;;;;;
6;10;2015;06-10-2015;Región del Biobío;Copahue;13:00;-;-;-;-;-;- ;Se registra incandescencia nocturna esporádica, sugiriendo actividad superficial asociada a pequeñas explosiones. Al amanecer se logra constatar la emisión continua de MP de baja altura (<200m.) desde el cráter El Agrio;Amarilla;REAV Región del Biobío, 06 octubre de 2015, 13:00 (Horario Local);;;;;;;;;
30;10;2015;30-10-2015;Región de Antofagasta;Láscar;09:45;09:32;TR y EX;-;1;-;00:13;Se registra emision de ceniza asociado a una señal de tremor, alcanzando una altura de 2500 m sobre el nivel del cráter. Se cambia la alerta a Amarilla;Amarilla;REAV Región de Antofagasta, 30 octubre de 2015, 09:45 (Horario Local);;;;;;;;;
31;10;2015;31-10-2015;Región de Arica y Parinacota;Guallatiri;18:41;18:41;VT;3;-;8;00:00;-;Verde;REAV Región de Arica y Parinacota, 31 octubre de 2015, 18:41 (Horario Local);;;;;;;;;
12;11;2015;12-11-2015;Región del Maule;Laguna del Maule;17:20;-;VT;1,6;-;2,6;- ;Se registra enjambre sísmico de eventos VT, 45 eventos en 30 minutos;Verde;REAV Región del Maule, 12 noviembre de 2015, 17:20 (Horario Local);;;;;;;;;
20;11;2015;20-11-2015;Región del Biobío;Copahue;09:30;-;-;-;-;-;- ;Se observan variaciones en la amplitud del tremor, además de un incremento en la actividad superficial a nivel de cráter (pequeñas explosiones con emision de cenizas e incandescencia). La altura máxima alcanzo unos 1000 metros;Amarilla;REAV Región del Biobío, 20 noviembre de 2015, 09:30 (Horario Local);;;;;;;;;
11;12;2015;11-12-2015;Región del Maule;Laguna del Maule;05:06;-;VT;1,7;-;5,7;- ;Se registra enjambre sísmico de eventos VT, 150 eventos en 1 hora ;Verde;REAV Región del Maule, 11 diciembre de 2015, 05:06 (Horario Local);;;;;;;;;
13;12;2015;13-12-2015;Región del Biobío;Copahue;01:20;-;VT;3,1;-;5,49;- ;Se registra enjambre sísmico de eventos VT, 103 eventos en 5 horas;Amarilla;REAV Región del Biobío, 13 diciembre de 2015, 01:20 (Horario Local);;;;;;;;;
16;12;2015;16-12-2015;Región del Biobío;Copahue;17:45;16:48;VT;3,1;-;6,9;00:57;-;Amarilla;REAV Región del Biobío, 16 diciembre de 2015, 17:45 (Horario Local);;;;;;;;;
8;1;2016;08-01-2016;Región del Biobío;Nevados de Chillán;19:00;17:56;LP y EX;2,9;-;-;01:04;Pulso de ceniza de corta duración asociado a evento LP, sugiriendo actividad de un sistema hidrotermal somero;Amarilla;REAV Región del Biobío, 08 enero de 2016, 19:00 (Horario Local);;;;;;;;;
14;1;2016;14-01-2016;Región del Biobío;Copahue;06:00;04:45;VT;3,8;-;6,46;01:15;-;Amarilla;REAV Región del Biobío, 14 enero de 2016, 06:00 (Horario Local);;;;;;;;;
14;1;2016;14-01-2016;Región del Biobío;Copahue;17:20;16:46;VT;3,1;-;9,3;00:34;-;Amarilla;REAV Región del Biobío, 14 enero de 2016, 17:20 (Horario Local);;;;;;;;;
22;1;2016;22-01-2016;Región del Maule;Planchón-Peteroa;17:00;-;LP;-;20;-;- ;Se registra un aumento de la sismicidad tipo LP desde el día 15 de enero. En lo que va de mes se registran 289 sismos LP, la mayoria con DR<2 cm*cm, destacandose el evento mayor con un DR=20cm*cm. Se cambia la alerta a AMARILLA;Amarilla;REAV Región del Maule, 22 enero de 2016, 17:00 (Horario Local);;;;;;;;;
29;1;2016;29-01-2016;Región del Biobío;Nevados de Chillán;16:10;14:25;TR y EX;-;5,6;-;01:45;Se registra un pulso de cenizas asociado a una señal de tremor. El centro de emisión del material esta localizado en el cráter Arrau. Esto sugiere una evolución de la actividad del sistema hidrotermal;Amarilla;REAV Región del Biobío, 29 enero de 2016, 16:10 (Horario Local);;;;;;;;;
30;1;2016;30-01-2016;Región del Biobío;Nevados de Chillán;21:00;-;-;-;-;-;- ;Mediante sobrevuelo se observa la formación de un nuevo cráter ubicado a 50 m al NE del cráter Arrau. Además se identificaron diversos puntos de emisión de gases. Las imágenes térmicas registran temperaturas maximas de 125°C, lo que indica acitividad de un sistema hidotermal somero;Amarilla;REAV Región del Biobío, 30 enero de 2016, 21:00 (Horario Local);;;;;;;;;
31;1;2016;31-01-2016;Región de Arica y Parinacota;Guallatiri;13:27;13:27;VT;3,6;-;1,2;00:00;-;Verde;REAV Región de Arica y Parinacota, 31 enero de 2016, 13:27 (Horario Local);;;;;;;;;
6;2;2016;06-02-2016;Región de Arica y Parinacota;Guallatiri;05:40;05:21;VT;3,5;-;3,6;00:19;-;Verde;REAV Región de Arica y Parinacota, 06 febrero de 2016, 05:40 (Horario Local);;;;;;;;;
11;2;2016;11-02-2016;Región del Biobío;Nevados de Chillán;07:20;06:35;VT;3,2;-;1;00:45;-;Amarilla;REAV Región del Biobío, 11 febrero de 2016, 07:20 (Horario Local);;;;;;;;;
18;3;2016;18-03-2016;Región del Biobío;Nevados de Chillán;13:50;-;-;-;-;-;- ;Aumento de sismicidad tipo LP, a una tasa de 3-4 eventos por minuto. Se sugiere una zona de peligro de 2 km a partir de los cráteres activos;Amarilla;REAV Región del Biobío, 18 marzo de 2016, 13:50 (Horario Local);;;;;;;;;
26;3;2016;26-03-2016;Región de La Araucanía y Los Ríos;Villarrica;05:38;05:38;VT;3,7;-;4,5;00:00;-;;REAV Región de La Araucanía y Los Ríos, 26 marzo de 2016, 05:38 (Horario Local);;;;;;;;;
3;4;2016;03-04-2016;Región de La Araucanía y Los Ríos;Villarrica;10:50;-;-;-;-;-;- ;Se registra un aumento en la energía sismica de tremor volcánico. Se registra incandescencia nocturna y explosiones estrombolianas a nivel de cráter. Se cambia alerta a AMARILLA;Amarilla;REAV Región de La Araucanía y Los Ríos, 03 abril de 2016, 10:50 (Horario Local);;;;;;;;;
9;5;2016;09-05-2016;Región del Biobío;Nevados de Chillán;13:30;13:03;TR y EX;-;7,5;-;00:27;Explosión con emisión de MP a 1700 metros sobre el borde del cráter principal.;Amarilla;REAV Región del Biobío, 09 mayo de 2016, 13:30 (Horario Local);;;;;;;;;
24;5;2016;24-05-2016;Región Metropolitana;Tupungatito;12:35;12:01;VT;3;-;0,23;00:34;-;Verde;REAV Región Metropolitana, 24 mayo de 2016, 12:35 (Horario Local);;;;;;;;;
8;6;2016;08-06-2016;Región de Los Ríos;Puyehue-Cordón Caulle;01:30;00:37;HB;3;-;3,1;00:53;-;Verde;REAV Región de Los Ríos, 08 junio de 2016, 01:30 (Horario Local);;;;;;;;;
23;6;2016;23-06-2016;Región de Los Lagos;Calbuco;13:20;-;-;-;-;-;- ;Aumento de actividad tipo VT: 161 eventos en 3 días. Además se registra una variacion ascendente del inclinómetro, lo que sugiere un proceso inflacionario. Se cambia alerta a AMARILLA;Amarilla;REAV Región de Los Lagos, 23 junio de 2016, 13:20 (Horario Local);;;;;;;;;
28;6;2016;28-06-2016;Región del Maule;Planchón-Peteroa;22:02;22:02;VT;3,4;-;4,8;00:00;-;Amarilla;REAV Región del Maule, 28 junio de 2016, 22:02 (Horario Local);;;;;;;;;
27;7;2016;27-07-2016;Región del Maule;Tatara-San Pedro;18:40;18:15;VT;3;-;7,39;00:25;-;Verde;REAV Región del Maule, 27 julio de 2016, 18:40 (Horario Local);;;;;;;;;
2;8;2016;02-08-2016;Región de Arica y Parinacota;Guallatiri;08:30;07:45;VT;3;-;2;00:45;-;Verde;REAV Región de Arica y Parinacota, 02 agosto de 2016, 08:30 (Horario Local);;;;;;;;;
9;8;2016;09-08-2016;Región del Biobío;Nevados de Chillán;16:00;-;-;-;-;-;- ;Aumento en energía y emision de MP de explosiones ocurridas la primera semana de agosto. Aparición de eventos tipo Tornillo anterior a explosiones. Sobrevuelo evidenció bajas temperaturas en la superficie (60°C), lo que sugiere que la actividad esta relacionada con la excitacion del sistema hidrotermal del complejo;Amarilla;REAV Región del Biobío, 09 agosto de 2016, 16:00 (Horario Local);;;;;;;;;
1;9;2016;01-09-2016;Región de Antofagasta;Ollagüe;23:30;20:54;VT;2,5;-;3;02:36;Enjambre sÍsmico, 130 eventos VT en 2 horas;Verde;REAV Región de Antofagasta, 01 septiembre de 2016, 23:30 (Horario Local);;;;;;;;;
29;9;2016;29-09-2016;Región del Biobío;Copahue;03:30;02:39;VT;3,1;-;4,9;00:51;-;Amarilla;REAV Región del Biobío, 29 septiembre de 2016, 03:30 (Horario Local);;;;;;;;;
7;10;2016;07-10-2016;Región del Maule;Planchón-Peteroa;19:50;19:30;VT;3,1;-;4,6;00:20;-;Amarilla;REAV Región del Maule, 07 octubre de 2016, 19:50 (Horario Local);;;;;;;;;
11;10;2016;11-10-2016;Región del Maule;Planchón-Peteroa;23:15;22:48;VT;3,1;-;4,7;00:27;-;Amarilla;REAV Región del Maule, 11 octubre de 2016, 23:15 (Horario Local);;;;;;;;;
16;10;2016;16-10-2016;Región del Maule;Planchón-Peteroa;08:30;07:50;VT;3,2;-;4,8;00:40;-;Amarilla;REAV Región del Maule, 16 octubre de 2016, 08:30 (Horario Local);;;;;;;;;
28;10;2016;28-10-2016;Región del Biobío;Copahue;09:05;08:32;VT;3,1;-;3,9;00:33;-;Amarilla;REAV Región del Biobío, 28 octubre de 2016, 09:05 (Horario Local);;;;;;;;;
2;11;2016;02-11-2016;Región de Arica y Parinacota;Guallatiri;03:15;02:34;VT;3,1;-;8,5;00:41;Se registra un disparo sísmico, 12 eventos en 40 minutos;Verde;REAV Región de Arica y Parinacota, 02 noviembre de 2016, 03:15 (Horario Local);;;;;;;;;
14;11;2016;14-11-2016;Región de Aysén;Hudson;14:00;13:17;HB;3,6;-;4,9;00:43;-;Verde;REAV Región de Aysén, 14 noviembre de 2016, 14:00 (Horario Local);;;;;;;;;
18;11;2016;18-11-2016;Región del Biobío;Nevados de Chillán;09:00;-;EX;-;134;-;- ;Secuencia de 2 explosiones, la mayor alcanzando una columna de gases de 1,2 km sobre el cráter;Amarilla;REAV Región del Biobío, 18 noviembre de 2016, 09:00 (Horario Local);;;;;;;;;
18;11;2016;18-11-2016;Región de La Araucanía y Los Ríos;Villarrica;23:00;22:08;VT;3,1;-;6,6;00:52;-;Verde;REAV Región de La Araucanía y Los Ríos, 18 noviembre de 2016, 23:00 (Horario Local);;;;;;;;;
19;11;2016;19-11-2016;Región del Maule;Planchón-Peteroa;22:00;21:02;VT;3,4;-;5,9;00:58;-;Amarilla;REAV Región del Maule, 19 noviembre de 2016, 22:00 (Horario Local);;;;;;;;;
28;11;2016;28-11-2016;Región del Biobío;Copahue;00:30;23:33;VT;3,1;-;1,4;00:57;-;Amarilla;REAV Región del Biobío, 28 noviembre de 2016, 00:30 (Horario Local);;;;;;;;;
14;12;2016;14-12-2016;Región de Arica y Parinacota;Guallatiri;09:10;08:12;VT;3,4;-;9,46;00:58;-;Verde;REAV Región de Arica y Parinacota, 14 diciembre de 2016, 09:10 (Horario Local);;;;;;;;;
5;1;2017;05-01-2017;Región del Maule;Descabezado Grande;08:40;07:54;VT;3,1;-;3,7;00:46;-;Verde;REAV Región del Maule, 05 enero de 2017, 08:40 (Horario Local);;;;;;;;;
15;2;2017;15-02-2017;Región de La Araucanía;Lanín;16:55;15:24;VT, LP, TR;1,8;45;-;01:31;Sucesion simultánea de eventos sísmicos VT, LP y TR. 59 sismos en 45 min. Se cambia a alerta AMARILLA;Amarilla;REAV Región de La Araucanía, 15 febrero de 2017, 16:55 (Horario Local);;;;;;;;;
19;2;2017;19-02-2017;Región del Maule;Planchón-Peteroa;04:25;03:26;VT;3,5;-;4,5;00:59;-;Amarilla;REAV Región del Maule, 19 febrero de 2017, 04:25 (Horario Local);;;;;;;;;
25;2;2017;25-02-2017;Región del Maule;Descabezado Grande;20:40;20:00;VT;3,7;-;3,67;00:40;-;Verde;REAV Región del Maule, 25 febrero de 2017, 20:40 (Horario Local);;;;;;;;;
14;3;2017;14-03-2017;Región del Biobío;Nevados de Chillán;13:00;06:17;EX;-;147;-;06:43;-;Amarilla;REAV Región del Biobío, 14 marzo de 2017, 13:00 (Horario Local);;;;;;;;;
23;3;2017;23-03-2017;Región de La Araucanía y Los Ríos;Villarrica;15:30;-;-;-;-;-;- ;-;Verde;REAV Región de La Araucanía y Los Ríos, 23 marzo de 2017, 15:30 (Horario Local);;;;;;;;;
28;3;2017;28-03-2017;Región del Maule;Planchón-Peteroa;22:48;22:48;VT;3,6;-;5,53;00:00;-;Amarilla;REAV Región del Maule, 28 marzo de 2017, 22:48 (Horario Local);;;;;;;;;
31;3;2017;31-03-2017;Región de La Araucanía y Los Ríos;Villarrica;03:53;03:53;VT;3,9;-;3,51;00:00;-;Verde;REAV Región de La Araucanía y Los Ríos, 31 marzo de 2017, 03:53 (Horario Local);;;;;;;;;
13;4;2017;13-04-2017;Región de Arica y Parinacota;Guallatiri;06:45;06:01;VT;3;-;2,4;00:44;-;Verde;REAV Región de Arica y Parinacota, 13 abril de 2017, 06:45 (Horario Local);;;;;;;;;
4;6;2017;04-06-2017;Región del Biobío;Copahue;18:00;-;-;-;-;-;- ;Aumento en la columna de cenizas. Se cambia a alerta AMARILLA;Amarilla;REAV Región del Biobío, 04 junio de 2017, 18:00 (Horario Local);;;;;;;;;
4;6;2017;04-06-2017;Región del Biobío;Copahue;14:30;-;-;-;-;-;- ;Aumento en la columna de cenizas;Verde;REAV Región del Biobío, 04 junio de 2017, 14:30 (Horario Local);;;;;;;;;
23;6;2017;23-06-2017;Región de La Araucanía y Los Ríos;Villarrica;11:45;06:00;VT;5,1;-;127;05:45;-;Verde;REAV Región de La Araucanía y Los Ríos, 23 junio de 2017, 11:45 (Horario Local);;;;;;;;;
8;7;2017;08-07-2017;Región del Maule;Planchón-Peteroa;18:00;16:49;HB;4;-;3,6;01:11;-;Verde;REAV Región del Maule, 08 julio de 2017, 18:00 (Horario Local);;;;;;;;;
10;7;2017;10-07-2017;Región del Maule;Planchón-Peteroa;18:00;-;-;-;-;-;- ;Luego del evento HB de ML= 4.0, se determina cambiar a alerta AMARILLA;Amarilla;REAV Región del Maule, 10 julio de 2017, 18:00 (Horario Local);;;;;;;;;
9;8;2017;09-08-2017;Región del Maule;Descabezado Grande;15:20;14:52;VT;3,6;-;2,6;00:28;-;Verde;REAV Región del Maule, 09 agosto de 2017, 15:20 (Horario Local);;;;;;;;;
